,tweetID,financeType,date,fullText,replyCount,likesCount,retweetCount,adjustedClose,volume,subjectivity,polarity,Sentiment
791,1410529698497630212,doge,2021-07-01,"Baby Doge, doo, doo, doo, doo, doo, Baby Doge, doo, doo, doo, doo, doo, Baby Doge, doo, doo, doo, doo, doo, Baby Doge",45549.0,280096,48122,0.244549,2463946548.0,0.0,0.0,Neutral
793,1410797794630070278,doge,2021-07-01,But can I pay in Doge?,1430.0,16598,3349,0.244549,2463946548.0,0.0,0.0,Neutral
803,1413396249546563586,doge,2021-07-09,"BTC &amp; ETH are pursuing a multilayer transaction system, but base layer transaction rate is slow &amp; transaction cost is high. There is merit imo to Doge maximizing base layer transaction rate &amp; minimizing transaction cost with exchanges acting as the de facto secondary layer.",6692.0,26506,6401,0.219864,3045790264.0,0.5399999999999999,-0.34,Negative
805,1414774945335361548,doge,2021-07-12,"Maybe if it sees a Shiba Inu, the car renders a Dogecoin …",1971.0,21780,3807,0.208048,973602708.0,0.0,0.0,Neutral
806,1416441034469527556,doge,2021-07-17,Lil X is hodling his Doge like a champ. Literally never said the word “sell” even once!,1219.0,14721,2789,0.186125,2393120423.0,0.0,0.0,Neutral
833,1429923740607909912,doge,2021-08-23,Ancient Doges,848.0,12491,1462,0.317914,2836628655.0,0.0,0.0,Neutral
854,1440780474662543370,doge,2021-09-22,Super important for Doge fees to drop to make things like buying movie tix viable,2215.0,23835,4126,0.224858,2016471206.0,0.8333333333333333,0.3666666666666667,Positive
868,1451623475978833927,doge,2021-10-22,*In Dogecoin,6542.0,57811,10584,0.244221,1829875043.0,0.0,0.0,Neutral
869,1452334458066149377,doge,2021-10-24,"Out of curiosity, I acquired some ascii hash strings called “Bitcoin, Ethereum &amp; Doge”. That’s it. As I’ve said before, don’t bet the farm on crypto! True value is building products &amp; providing services to your fellow human beings, not money in any form.",5448.0,36329,6230,0.277048,5278760541.0,0.375,0.175,Positive
870,1452348126753349640,doge,2021-10-24,Lots of people I talked to on the production lines at Tesla or building rockets at SpaceX own Doge. They aren’t financial experts or Silicon Valley technologists. That’s why I decided to support Doge – it felt like the people’s crypto.,4060.0,33219,7162,0.277048,5278760541.0,0.5,0.3,Positive
877,1453418189862342660,doge,2021-10-27,"If I send you 2 Doge, will you promise to send me 1 Doge?",10861.0,46910,6227,0.23769,5022822846.0,0.0,0.0,Neutral
887,1454876031232380928,doge,2021-10-31,Tuition is in Dogecoin &amp; u get a discount if u have a dog,25890.0,241960,22062,0.280244,4224104205.0,0.0,0.0,Neutral
891,1455634905870786564,doge,2021-11-02,How about my lil doge Floki? He would make a great CEO! His judgment is ??.,5763.0,25497,4616,0.273121,2336414476.0,0.75,1.0,Positive
912,1463085111600205825,doge,2021-11-23,Hey what’s going on with your Doge customers? Sounds shady.,4687.0,24943,3913,0.226512,1907278849.0,0.625,-0.25,Negative
913,1463096278171148290,doge,2021-11-23,Doge holders using Binance should be protected from errors that are not their fault,3274.0,21846,3319,0.226512,1907278849.0,0.0,0.0,Neutral
914,1463193267336581122,doge,2021-11-23,"I don’t use Binance (tried at one point, but signup was too many hoops to jump through), so no inconvenience to me personally. Just raising this issue on behalf of other Doge holders.",3518.0,19400,2386,0.226512,1907278849.0,0.39166666666666666,0.125,Positive
924,1470703708677840896,doge,2021-12-14,Tesla will make some merch buyable with Doge &amp; see how it goes,49984.0,363960,53938,0.180157,6411471551.0,0.0,0.0,Neutral
933,1473914193527070770,doge,2021-12-23,That’s why I’m pro Doge,4203.0,30980,6149,0.18449,1184481683.0,0.0,0.0,Neutral
943,1481873421390680065,doge,2022-01-14,Tesla merch buyable with Dogecoin,38725.0,332825,51727,0.183549,5784004926.0,0.0,0.0,Neutral
948,1485953263040188416,doge,2022-01-25,I will eat a happy meal on tv if accepts Dogecoin,31009.0,422498,59390,0.143049,1347567750.0,1.0,0.8,Positive
980,1503222294277197829,doge,2022-03-13,"As a general principle, for those looking for advice from this thread, it is generally better to own physical things like a home or stock in companies you think make good products, than dollars when inflation is high. I still own &amp; won’t sell my Bitcoin, Ethereum or Doge fwiw.",,59644,14844,0.111608,373430106.0,0.6118367346938776,0.37285714285714283,Positive
1001,1512954808394731521,doge,2022-04-09,Maybe even an option to pay in Doge?,,34178,4342,0.144303,523997409.0,0.0,0.0,Neutral
1088,1529963471248449556,doge,2022-05-26,"Dogecoin Trillionaire, the Movie ??",,17344,2244,0.078252,711890873.0,0.0,0.0,Neutral
1092,1530209049261658112,doge,2022-05-27,"Tesla merch can be bought with Doge, soon SpaceX merch too",,202883,19421,0.081335,1310057650.0,0.0,0.0,Neutral
1109,1531696049064116225,doge,2022-05-31,And Palmer always forgets to mention that he never wrote a single line of Dogecoin code …,,3649,309,0.085865,672444588.0,0.21428571428571427,-0.07142857142857142,Negative
1110,1531699416490557440,doge,2022-05-31,You’re humble bro. Billy’s sense of humor &amp; irreverence is a big part of why people love Dogecoin.,,12139,1224,0.085865,672444588.0,0.3666666666666667,0.09999999999999999,Positive
1124,1538406040374595585,doge,2022-06-19,I will keep supporting Dogecoin,,395787,37200,0.060396,1166163984.0,0.25,0.25,Positive
1128,1544743525585141761,doge,2022-07-06,Supporting Doge wherever possible,,10674,2073,0.068583,398926503.0,0.625,0.125,Positive
